City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
sambava,-14.2667,50.1667,299.32,61,52,6.28,MG,1621775613
portland,45.5234,-122.6762,285.48,83,90,1.34,US,1621775550
vaini,-21.2,-175.2,295.24,94,90,2.57,TO,1621775615
davila,18.4726,120.5763,301.82,78,4,4.03,PH,1621775617
fortuna,40.5982,-124.1573,280.18,65,1,2.57,US,1621775618
ketchikan,55.3422,-131.6461,281.41,93,90,2.06,US,1621775619
saskylakh,71.9167,114.0833,275.0,99,100,5.05,RU,1621775620
ixtapa,20.7,-105.2,294.39,88,1,1.54,MX,1621775330
kavaratti,10.5669,72.642,301.9,73,100,3.96,IN,1621775623
butaritari,3.0707,172.7902,301.28,81,100,7.96,KI,1621775624
bluff,-46.6,168.3333,283.04,71,62,5.6,NZ,1621775625
champerico,14.3,-91.9167,300.57,72,100,0.45,GT,1621775627
khatanga,71.9667,102.5,275.83,91,100,2.75,RU,1621775628
punta arenas,-53.15,-70.9167,275.21,84,75,3.66,CL,1621775585
mahebourg,-20.4081,57.7,297.73,73,29,6.91,MU,1621775630
avarua,-21.2078,-159.775,299.18,83,75,6.17,CK,1621775632
cherskiy,68.75,161.3,273.26,76,24,0.74,RU,1621775633
pak thong chai,14.7226,102.0251,305.23,66,65,3.85,TH,1621775634
zhaotong,27.3167,103.7167,286.0,89,100,2.51,CN,1621775636
beloha,-25.1667,45.05,296.65,55,25,5.66,MG,1621775637
hermanus,-34.4187,19.2345,296.37,48,9,1.12,ZA,1621775638
matina,10.0761,-83.2895,298.08,84,97,1.11,CR,1621775639
mount gambier,-37.8333,140.7667,285.49,65,100,3.65,AU,1621775641
torbay,47.6666,-52.7314,286.42,84,100,11.1,CA,1621775642
aljezur,37.3191,-8.8033,291.48,53,0,9.92,PT,1621775643
provideniya,64.3833,-173.3,274.78,87,100,2.62,RU,1621775645
cantapoy,9.4906,125.4364,300.28,81,0,3.18,PH,1621775646
jamestown,42.097,-79.2353,296.77,78,90,3.6,US,1621775526
rikitea,-23.1203,-134.9692,296.44,76,97,4.43,PF,1621775648
dutlwe,-23.9833,23.9,296.27,26,0,4.39,BW,1621775650
dikson,73.5069,80.5464,273.17,98,100,7.23,RU,1621775651
richards bay,-28.783,32.0377,295.57,57,15,4.88,ZA,1621775559
hithadhoo,-0.6,73.0833,302.43,69,70,4.34,MV,1621775653
mwene-ditu,-7.0,23.45,303.32,31,7,2.23,CD,1621775655
evensk,61.95,159.2333,275.14,88,82,0.34,RU,1621775656
hilo,19.7297,-155.09,294.88,93,90,0.0,US,1621775655
albany,42.6001,-73.9662,296.18,61,100,3.67,US,1621775525
atuona,-9.8,-139.0333,299.51,79,76,7.83,PF,1621775661
codroipo,45.96,12.9792,297.41,73,100,4.96,IT,1621775662
port alfred,-33.5906,26.891,296.63,35,15,4.35,ZA,1621775665
dudinka,69.4058,86.1778,276.71,99,100,6.31,RU,1621775667
tabou,4.423,-7.3528,301.59,77,37,2.63,CI,1621775669
tyumentsevo,53.3224,81.498,299.17,41,94,2.63,RU,1621775670
port lincoln,-34.7333,135.8667,292.57,42,100,6.59,AU,1621775672
ushuaia,-54.8,-68.3,275.8,94,64,2.88,AR,1621775673
san policarpo,12.1791,125.5072,301.12,79,5,3.0,PH,1621775674
svetlyy,54.675,20.1347,287.18,70,68,6.07,RU,1621775675
mataura,-46.1927,168.8643,282.86,97,92,0.96,NZ,1621775677
tuktoyaktuk,69.4541,-133.0374,270.73,94,90,3.71,CA,1621775678
cape town,-33.9258,18.4232,300.01,32,24,1.13,ZA,1621775284
busselton,-33.65,115.3333,282.09,73,99,9.16,AU,1621775680
hobart,-42.8794,147.3294,282.62,90,20,2.17,AU,1621775682
nsanje,-16.92,35.262,295.75,77,74,4.77,MW,1621775683
ayan,56.45,138.1667,273.94,98,100,4.55,RU,1621775684
awbari,26.5921,12.7805,314.08,6,0,4.91,LY,1621775686
banyo,6.75,11.8167,302.24,50,65,2.55,CM,1621775688
puerto ayora,-0.7393,-90.3518,296.79,90,100,2.24,EC,1621775391
sao francisco,-15.9486,-44.8644,303.3,29,83,0.96,BR,1621775583
la asuncion,11.0333,-63.8628,300.03,81,99,5.87,VE,1621775691
flin flon,54.7682,-101.865,277.86,79,0,3.82,CA,1621775695
pevek,69.7008,170.3133,269.61,91,83,1.3,RU,1621775696
vanderhoof,54.0166,-124.0198,280.33,84,10,1.88,CA,1621775407
longyearbyen,78.2186,15.6401,270.06,59,0,2.06,SJ,1621775699
vanimo,-2.6741,141.3028,299.36,89,100,2.1,PG,1621775700
port elizabeth,-33.918,25.5701,296.31,35,0,3.09,ZA,1621775701
aykhal,66.0,111.5,275.75,78,79,3.78,RU,1621775704
severo-kurilsk,50.6789,156.125,280.62,60,58,1.69,RU,1621775705
ati,13.2154,18.3353,314.84,5,89,4.57,TD,1621775706
moses lake,47.1301,-119.2781,280.71,75,1,0.0,US,1621775709
sola,-13.8833,167.55,299.73,74,100,7.52,VU,1621775710
akureyri,65.6835,-18.0878,276.11,87,90,4.12,IS,1621775711
girne,35.3417,33.3167,301.9,34,2,4.26,CY,1621775712
tiznit,29.5833,-9.5,300.16,30,61,4.84,MA,1621775714
atambua,-9.1061,124.8925,295.18,87,40,2.25,ID,1621775715
yichang,30.7144,111.2847,291.44,88,100,1.66,CN,1621775716
salta,-24.7859,-65.4117,283.47,71,0,0.45,AR,1621775718
ponta do sol,32.6667,-17.1,294.5,52,56,2.86,PT,1621775719
yellowknife,62.456,-114.3525,283.89,57,20,3.09,CA,1621775720
urengoy,65.9667,78.3667,283.45,81,100,7.17,RU,1621775721
sorong,-0.8833,131.25,300.05,84,100,2.56,ID,1621775723
axim,4.8699,-2.2405,301.79,74,92,4.04,GH,1621775724
lensk,60.7253,114.9278,280.83,47,85,0.49,RU,1621775725
chuy,-33.6971,-53.4616,286.07,86,67,6.24,UY,1621775727
tromso,69.6496,18.957,280.51,42,20,4.63,NO,1621775728
vila franca do campo,37.7167,-25.4333,289.38,52,8,1.69,PT,1621775729
hobyo,5.3505,48.5268,300.78,69,95,11.29,SO,1621775731
