City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
balgazyn,51.0,95.2,4.7300000000000395,88,71,0.65,RU,1612736882
albany,42.6001,-73.9662,28.13000000000004,63,100,1.79,US,1612736798
barabai,-2.5833,115.3833,73.13000000000004,94,100,0.57,ID,1612736885
ashington,50.9331,-0.3909,29.930000000000042,83,22,2.24,GB,1612736886
dovers,12.8833,-61.1833,78.53000000000004,78,20,4.63,VC,1612736888
georgetown,5.4112,100.3354,80.33000000000004,83,20,2.67,MY,1612736874
zabaykalsk,49.6333,117.3167,-13.26999999999996,82,0,1.22,RU,1612736890
bambous virieux,-20.3428,57.7575,80.33000000000004,74,20,3.6,MU,1612736564
kodiak,57.79,-152.4072,35.33000000000004,48,1,2.18,US,1612736892
vaini,-21.2,-175.2,78.53000000000004,94,75,6.69,TO,1612736858
longyearbyen,78.2186,15.6401,15.53000000000004,48,20,7.2,SJ,1612736894
northam,51.0333,-4.2167,33.530000000000044,73,25,6.26,GB,1612736896
vangaindrano,-23.35,47.6,76.73000000000005,91,79,2.9,MG,1612736897
mataura,-46.1927,168.8643,67.73000000000005,50,99,1.29,NZ,1612736681
chokurdakh,70.6333,147.9167,-18.66999999999996,88,98,3.63,RU,1612736649
yuzhno-kurilsk,44.0306,145.8556,11.930000000000042,87,8,3.52,RU,1612736901
nouakchott,18.0858,-15.9785,65.93000000000004,27,0,3.6,MR,1612736648
codrington,-38.2667,141.9667,56.93000000000004,68,100,5.23,AU,1612736903
shestakovo,56.4915,103.96,15.53000000000004,93,97,3.02,RU,1612736904
kaitong,44.8135,123.15,-7.869999999999962,86,0,1.12,CN,1612736905
busselton,-33.65,115.3333,62.33000000000004,99,84,0.45,AU,1612736906
punta arenas,-53.15,-70.9167,71.33000000000004,24,0,6.17,CL,1612736887
mecca,21.4267,39.8261,71.33000000000004,25,0,6.34,SA,1612736678
narsaq,60.9167,-46.05,37.13000000000004,28,20,19.03,GL,1612736900
roros,62.5747,11.3842,1.1300000000000416,85,90,1.03,NO,1612736911
lebu,-37.6167,-73.65,60.530000000000044,83,10,2.1,CL,1612736747
castro,-24.7911,-50.0119,62.33000000000004,75,0,1.38,BR,1612736897
rikitea,-23.1203,-134.9692,76.73000000000005,72,97,5.87,PF,1612736866
avarua,-21.2078,-159.775,83.93000000000004,74,20,6.17,CK,1612736915
hermanus,-34.4187,19.2345,62.33000000000004,82,3,1.61,ZA,1612736771
sioux lookout,50.1001,-91.917,-13.26999999999996,53,1,5.14,CA,1612736917
isangel,-19.55,169.2667,80.33000000000004,68,11,2.27,VU,1612736898
labrea,-7.2586,-64.7981,82.13000000000004,82,79,0.44,BR,1612736919
broome,42.2506,-75.833,24.53000000000004,79,90,6.17,US,1612736921
ribeira grande,38.5167,-28.7,58.73000000000004,77,40,5.14,PT,1612736788
bandarbeyla,9.4942,50.8122,74.93000000000004,80,30,7.9,SO,1612736847
hofn,64.2539,-15.2082,35.33000000000004,90,100,7.76,IS,1612736924
ilulissat,69.2167,-51.1,20.930000000000042,42,0,7.2,GL,1612736925
port alfred,-33.5906,26.891,65.93000000000004,96,100,4.33,ZA,1612736926
barrow,71.2906,-156.7887,-25.869999999999962,68,1,4.63,US,1612736927
hobart,-42.8794,147.3294,58.73000000000004,55,40,8.23,AU,1612736803
cape town,-33.9258,18.4232,65.93000000000004,63,0,7.72,ZA,1612736832
butaritari,3.0707,172.7902,80.33000000000004,80,93,8.56,KI,1612736930
mangrol,21.1167,70.1167,67.73000000000005,45,0,3.51,IN,1612736932
ust-maya,60.4167,134.5333,-33.069999999999965,82,98,1.23,RU,1612736933
yellowknife,62.456,-114.3525,-29.469999999999956,61,20,3.09,CA,1612736934
tomatlan,19.9333,-105.25,80.33000000000004,57,1,3.91,MX,1612736935
tuktoyaktuk,69.4541,-133.0374,-27.66999999999996,68,75,8.23,CA,1612736938
hasaki,35.7333,140.8333,35.33000000000004,75,75,2.06,JP,1612736939
camacupa,-12.0167,17.4833,64.13000000000004,94,100,1.13,AO,1612736940
karratha,-20.7377,116.8463,76.73000000000005,73,6,3.85,AU,1612736943
pangkalanbuun,-2.6833,111.6167,73.13000000000004,98,100,0.96,ID,1612736944
kruisfontein,-34.0033,24.7314,65.93000000000004,90,98,0.45,ZA,1612736945
vila franca do campo,37.7167,-25.4333,56.93000000000004,77,20,3.09,PT,1612736946
nenjiang,49.1833,125.2167,-16.869999999999962,85,0,1.48,CN,1612736947
labuhan,-6.8844,112.2051,76.73000000000005,85,100,5.09,ID,1612736948
upernavik,72.7868,-56.1549,17.33000000000004,79,2,1.45,GL,1612736873
kapaa,22.0752,-159.319,74.93000000000004,56,1,2.57,US,1612736950
chuy,-33.6971,-53.4616,67.73000000000005,75,56,4.66,UY,1612736953
mar del plata,-38.0023,-57.5575,60.530000000000044,88,90,6.17,AR,1612736951
sisimiut,66.9395,-53.6735,22.73000000000004,79,8,6.21,GL,1612736955
new norfolk,-42.7826,147.0587,56.93000000000004,66,52,0.89,AU,1612736956
thinadhoo,0.5333,72.9333,80.33000000000004,71,33,4.03,MV,1612736957
panlaitan,12.1191,119.8486,78.53000000000004,75,98,1.65,PH,1612736958
aklavik,68.2191,-135.0107,-22.26999999999996,76,100,4.12,CA,1612736959
ushuaia,-54.8,-68.3,60.530000000000044,59,0,2.06,AR,1612736862
riyadh,24.6877,46.7219,58.73000000000004,67,0,4.12,SA,1612736704
arraial do cabo,-22.9661,-42.0278,73.13000000000004,88,75,3.09,BR,1612736963
sume,-7.6717,-36.88,82.13000000000004,46,99,8.28,BR,1612736964
atyrau,47.1167,51.8833,8.330000000000041,72,0,5.0,KZ,1612736821
lalibela,12.0333,39.0333,47.93000000000004,57,41,1.81,ET,1612736966
hithadhoo,-0.6,73.0833,80.33000000000004,70,56,2.97,MV,1612736855
bluff,-46.6,168.3333,58.73000000000004,71,98,2.0,NZ,1612736567
shostka,51.863,33.4698,2.9300000000000423,93,81,1.71,UA,1612736969
matara,5.9485,80.5353,73.13000000000004,90,17,2.32,LK,1612736935
khatanga,71.9667,102.5,-31.26999999999996,79,0,4.76,RU,1612736974
harper,4.375,-7.7169,78.53000000000004,87,95,3.35,LR,1612736975
acapulco,16.8634,-99.8901,83.93000000000004,70,1,2.57,MX,1612736830
alofi,-19.0595,-169.9187,85.73000000000005,70,60,5.66,NU,1612736977
dikson,73.5069,80.5464,-33.069999999999965,85,90,7.47,RU,1612736978
sliven,42.6858,26.3292,46.13000000000004,100,90,2.06,BG,1612736979
talnakh,69.4865,88.3972,-20.469999999999956,75,19,1.16,RU,1612736980
dhanera,24.5167,72.0167,58.73000000000004,32,0,2.19,IN,1612736982
sydney,-33.8679,151.2073,69.53000000000004,78,75,6.69,AU,1612736499
santa clara,22.4,-79.9667,83.93000000000004,65,75,3.6,CU,1612736822
yaransk,57.3033,47.8861,-20.469999999999956,86,86,4.82,RU,1612736969
oktyabrskoye,43.0645,44.7417,26.33000000000004,100,95,5.0,RU,1612736987
adrar,20.5022,-10.0711,58.73000000000004,33,0,4.44,MR,1612736988
victor harbor,-35.5667,138.6167,58.73000000000004,89,10,1.34,AU,1612736989
laizhou,37.1717,119.9214,24.53000000000004,88,0,1.31,CN,1612736990
lompoc,34.6391,-120.4579,64.13000000000004,72,1,6.69,US,1612736980
lingyuan,41.24,119.4011,8.330000000000041,85,0,1.67,CN,1612736992
